Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2020,June,1 North West Metro, Melbourne,"35,757","19,459.0"
2020,June,1 North West Metro, Melton,"13,370","7,750.7"
2020,June,1 North West Metro, Moonee Valley,"8,635","6,553.9"
2020,June,1 North West Metro, Moreland,"14,337","7,595.3"
2020,June,1 North West Metro, Nillumbik,"2,267","3,476.0"
2020,June,1 North West Metro, Whittlesea,"16,539","6,992.1"
2020,June,1 North West Metro, Wyndham,"17,558","6,197.8"
2020,June,1 North West Metro, Yarra,"14,146","13,717.3"
2020,June,1 North West Metro,Total,"204,726","8,878.3"
2020,June,2 Eastern, Alpine,595,"4,586.4"
2020,June,2 Eastern, Bass Coast,"2,591","6,919.5"
2020,June,2 Eastern, Baw Baw,"4,797","8,740.3"
2020,June,2 Eastern, Benalla,"1,221","8,636.9"
2020,June,2 Eastern, Boroondara,"8,802","4,809.2"
2020,June,2 Eastern, East Gippsland,"4,963","10,399.2"
2020,June,2 Eastern, Greater Shepparton,"8,839","13,178.8"
2020,June,2 Eastern, Indigo,563,"3,334.3"
2020,June,2 Eastern, Knox,"12,138","7,349.8"
2020,June,2 Eastern, Latrobe,"13,712","18,062.3"
2020,June,2 Eastern, Manningham,"4,722","3,662.5"
2020,June,2 Eastern, Mansfield,461,"4,865.9"
2020,June,2 Eastern, Maroondah,"7,996","6,696.8"
2020,June,2 Eastern, Mitchell,"4,694","9,851.6"
2020,June,2 Eastern, Moira,"2,446","8,148.4"
2020,June,2 Eastern, Monash,"12,064","5,886.7"
2020,June,2 Eastern, Murrindindi,837,"5,709.0"
2020,June,2 Eastern, South Gippsland,"1,667","5,511.1"
2020,June,2 Eastern, Strathbogie,568,"5,167.4"
2020,June,2 Eastern, Towong,225,"3,687.3"
2020,June,2 Eastern, Wangaratta,"2,501","8,565.9"
2020,June,2 Eastern, Wellington,"4,598","10,270.3"
2020,June,2 Eastern, Whitehorse,"9,335","5,165.0"
2020,June,2 Eastern, Wodonga,"3,847","9,017.4"
2020,June,2 Eastern, Yarra Ranges,"8,743","5,465.9"
2020,June,2 Eastern,Total,"122,925","7,085.3"
2020,June,3 Southern Metro, Bayside,"5,397","5,018.6"
2020,June,3 Southern Metro, Cardinia,"7,241","6,231.9"
2020,June,3 Southern Metro, Casey,"23,594","6,471.2"
2020,June,3 Southern Metro, Frankston,"15,052","10,501.1"
2020,June,3 Southern Metro, Glen Eira,"7,957","5,029.2"
2020,June,3 Southern Metro, Greater Dandenong,"18,924","11,240.1"
2020,June,3 Southern Metro, Kingston,"12,077","7,219.1"
2020,June,3 Southern Metro, Mornington Peninsula,"11,792","6,983.2"
2020,June,3 Southern Metro, Port Phillip,"13,078","11,228.1"
2020,June,3 Southern Metro, Stonnington,"12,149","10,242.5"
2020,June,3 Southern Metro,Total,"127,261","7,809.8"
2020,June,4 Western, Ararat,"1,392","11,633.9"
2020,June,4 Western, Ballarat,"11,124","9,989.1"
2020,June,4 Western, Buloke,366,"5,999.0"
2020,June,4 Western, Campaspe,"3,875","10,285.3"
2020,June,4 Western, Central Goldfields,"1,238","9,456.2"
