Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2020,December,1 North West Metro, Banyule,"9,451","7,139.70"
2020,December,1 North West Metro, Brimbank,"20,232","9,625.10"
2020,December,1 North West Metro, Darebin,"15,751","9,499.90"
2020,December,1 North West Metro, Hobsons Bay,"5,828","5,911.00"
2020,December,1 North West Metro, Hume,"22,002","9,113.70"
2020,December,1 North West Metro, Maribyrnong,"9,158","9,574.80"
2020,December,1 North West Metro, Melbourne,"36,530","19,482.60"
2020,December,1 North West Metro, Melton,"14,385","8,363.80"
2020,December,1 North West Metro, Moonee Valley,"8,407","6,366.80"
2020,December,1 North West Metro, Moreland,"13,788","7,306.60"
2020,December,1 North West Metro, Nillumbik,"2,281","3,499.90"
2020,December,1 North West Metro, Whittlesea,"16,811","7,094.30"
2020,December,1 North West Metro, Wyndham,"18,284","6,450.10"
2020,December,1 North West Metro, Yarra,"14,222","13,788.30"
2020,December,1 North West Metro,Total,"207,130","8,954.90"
2020,December,2 Eastern, Alpine,584,"4,541.80"
2020,December,2 Eastern, Bass Coast,"2,900","7,823.30"
2020,December,2 Eastern, Baw Baw,"5,090","9,310.10"
2020,December,2 Eastern, Benalla,"1,410","10,019.50"
2020,December,2 Eastern, Boroondara,"8,023","4,350.40"
2020,December,2 Eastern, East Gippsland,"5,157","10,792.10"
2020,December,2 Eastern, Greater Shepparton,"9,163","13,702.50"
2020,December,2 Eastern, Indigo,575,"3,415.90"
2020,December,2 Eastern, Knox,"11,990","7,254.90"
2020,December,2 Eastern, Latrobe,"13,641","17,969.80"
2020,December,2 Eastern, Manningham,"4,848","3,767.70"
2020,December,2 Eastern, Mansfield,514,"5,530.70"
2020,December,2 Eastern, Maroondah,"8,027","6,706.20"
2020,December,2 Eastern, Mitchell,"5,342","11,146.10"
2020,December,2 Eastern, Moira,"2,278","7,591.00"
2020,December,2 Eastern, Monash,"12,845","6,310.90"
2020,December,2 Eastern, Murrindindi,899,"6,103.40"
2020,December,2 Eastern, South Gippsland,"1,745","5,793.50"
2020,December,2 Eastern, Strathbogie,619,"5,689.20"
2020,December,2 Eastern, Towong,219,"3,619.60"
2020,December,2 Eastern, Wangaratta,"3,084","10,504.40"
2020,December,2 Eastern, Wellington,"4,844","10,862.70"
2020,December,2 Eastern, Whitehorse,"9,341","5,193.40"
2020,December,2 Eastern, Wodonga,"3,575","8,324.20"
2020,December,2 Eastern, Yarra Ranges,"8,781","5,474.30"
2020,December,2 Eastern,Total,"125,494","7,237.90"
2020,December,3 Southern Metro, Bayside,"5,592","5,192.10"
2020,December,3 Southern Metro, Cardinia,"7,748","6,612.30"
2020,December,3 Southern Metro, Casey,"23,103","6,326.20"
2020,December,3 Southern Metro, Frankston,"14,801","10,296.10"
2020,December,3 Southern Metro, Glen Eira,"7,876","5,004.10"
2020,December,3 Southern Metro, Greater Dandenong,"19,380","11,401.20"
2020,December,3 Southern Metro, Kingston,"11,644","6,972.40"
2020,December,3 Southern Metro, Mornington Peninsula,"11,358","6,714.90"
2020,December,3 Southern Metro, Port Phillip,"13,595","11,548.50"
2020,December,3 Southern Metro, Stonnington,"11,614","9,767.10"
2020,December,3 Southern Metro,Total,"126,711","7,754.80"
2020,December,4 Western, Ararat,"1,580","13,320.10"
2020,December,4 Western, Ballarat,"9,772","8,766.30"
2020,December,4 Western, Buloke,498,"8,185.30"
2020,December,4 Western, Campaspe,"3,792","10,075.40"
2020,December,4 Western, Central Goldfields,"1,159","8,762.70"
2020,December,4 Western, Colac-Otway,"1,810","8,383.00"
2020,December,4 Western, Corangamite,870,"5,464.30"
2020,December,4 Western, Gannawarra,955,"9,136.80"
2020,December,4 Western, Glenelg,"1,680","8,557.50"
2020,December,4 Western, Golden Plains,589,"2,430.00"
2020,December,4 Western, Greater Bendigo,"11,080","9,234.20"
2020,December,4 Western, Greater Geelong,"23,008","8,690.00"
2020,December,4 Western, Hepburn,714,"4,444.20"
2020,December,4 Western, Hindmarsh,591,"10,685.00"
2020,December,4 Western, Horsham,"2,481","12,448.20"
